Salt,Temperatures_K,Thermal_Conductivity_W_mK
0.63NaCl-0.37UCl3,"784.150000,789.360606,794.571212,799.781818,804.992424,810.203030,815.413636,820.624242,825.834848,831.045455,836.256061,841.466667,846.677273,851.887879,857.098485,862.309091,867.519697,872.730303,877.940909,883.151515,888.362121,893.572727,898.783333,903.993939,909.204545,914.415152,919.625758,924.836364,930.046970,935.257576,940.468182,945.678788,950.889394,956.100000,961.310606,966.521212,971.731818,976.942424,982.153030,987.363636,992.574242,997.784848,1002.995455,1008.206061,1013.416667,1018.627273,1023.837879,1029.048485,1034.259091,1039.469697,1044.680303,1049.890909,1055.101515,1060.312121,1065.522727,1070.733333,1075.943939,1081.154545,1086.365152,1091.575758,1096.786364,1101.996970,1107.207576,1112.418182,1117.628788,1122.839394,1128.050000,1133.260606,1138.471212,1143.681818,1148.892424,1154.103030,1159.313636,1164.524242,1169.734848,1174.945455,1180.156061,1185.366667,1190.577273,1195.787879,1200.998485,1206.209091,1211.419697,1216.630303,1221.840909,1227.051515,1232.262121,1237.472727,1242.683333,1247.893939,1253.104545,1258.315152,1263.525758,1268.736364,1273.946970,1279.157576,1284.368182,1289.578788,1294.789394,1300.000000","0.114765,0.114500,0.114235,0.113969,0.113704,0.113439,0.113174,0.112909,0.112644,0.112378,0.112113,0.111848,0.111583,0.111318,0.111052,0.110787,0.110522,0.110257,0.109991,0.109726,0.109461,0.109196,0.108930,0.108665,0.108400,0.108134,0.107869,0.107604,0.107338,0.107073,0.106808,0.106542,0.106277,0.106011,0.105746,0.105481,0.105215,0.104950,0.104684,0.104419,0.104153,0.103888,0.103622,0.103357,0.103091,0.102826,0.102560,0.102295,0.102029,0.101764,0.101498,0.101233,0.100967,0.100701,0.100436,0.100170,0.099904,0.099639,0.099373,0.099108,0.098842,0.098576,0.098310,0.098045,0.097779,0.097513,0.097248,0.096982,0.096716,0.096450,0.096184,0.095919,0.095653,0.095387,0.095121,0.094855,0.094589,0.094323,0.094058,0.093792,0.093526,0.093260,0.092994,0.092728,0.092462,0.092196,0.091930,0.091664,0.091398,0.091132,0.090866,0.090600,0.090333,0.090067,0.089801,0.089535,0.089269,0.089003,0.088737,0.088470"
1.0LiF,"1121.200000,1124.016162,1126.832323,1129.648485,1132.464646,1135.280808,1138.096970,1140.913131,1143.729293,1146.545455,1149.361616,1152.177778,1154.993939,1157.810101,1160.626263,1163.442424,1166.258586,1169.074747,1171.890909,1174.707071,1177.523232,1180.339394,1183.155556,1185.971717,1188.787879,1191.604040,1194.420202,1197.236364,1200.052525,1202.868687,1205.684848,1208.501010,1211.317172,1214.133333,1216.949495,1219.765657,1222.581818,1225.397980,1228.214141,1231.030303,1233.846465,1236.662626,1239.478788,1242.294949,1245.111111,1247.927273,1250.743434,1253.559596,1256.375758,1259.191919,1262.008081,1264.824242,1267.640404,1270.456566,1273.272727,1276.088889,1278.905051,1281.721212,1284.537374,1287.353535,1290.169697,1292.985859,1295.802020,1298.618182,1301.434343,1304.250505,1307.066667,1309.882828,1312.698990,1315.515152,1318.331313,1321.147475,1323.963636,1326.779798,1329.595960,1332.412121,1335.228283,1338.044444,1340.860606,1343.676768,1346.492929,1349.309091,1352.125253,1354.941414,1357.757576,1360.573737,1363.389899,1366.206061,1369.022222,1371.838384,1374.654545,1377.470707,1380.286869,1383.103030,1385.919192,1388.735354,1391.551515,1394.367677,1397.183838,1400.000000","1.349841,1.348786,1.347730,1.346674,1.345619,1.344563,1.343508,1.342452,1.341396,1.340341,1.339285,1.338229,1.337174,1.336118,1.335062,1.334007,1.332951,1.331895,1.330840,1.329784,1.328728,1.327673,1.326617,1.325561,1.324506,1.323450,1.322394,1.321339,1.320283,1.319227,1.318172,1.317116,1.316060,1.315005,1.313949,1.312893,1.311838,1.310782,1.309726,1.308671,1.307615,1.306559,1.305504,1.304448,1.303392,1.302337,1.301281,1.300225,1.299170,1.298114,1.297058,1.296003,1.294947,1.293891,1.292836,1.291780,1.290724,1.289669,1.288613,1.287557,1.286502,1.285446,1.284390,1.283335,1.282279,1.281223,1.280168,1.279112,1.278056,1.277001,1.275945,1.274889,1.273834,1.272778,1.271722,1.270667,1.269611,1.268555,1.267500,1.266444,1.265388,1.264333,1.263277,1.262221,1.261166,1.260110,1.259054,1.257999,1.256943,1.255887,1.254832,1.253776,1.252720,1.251665,1.250609,1.249553,1.248498,1.247442,1.246386,1.245331"
1.0NaF,"1268.000000,1268.323232,1268.646465,1268.969697,1269.292929,1269.616162,1269.939394,1270.262626,1270.585859,1270.909091,1271.232323,1271.555556,1271.878788,1272.202020,1272.525253,1272.848485,1273.171717,1273.494949,1273.818182,1274.141414,1274.464646,1274.787879,1275.111111,1275.434343,1275.757576,1276.080808,1276.404040,1276.727273,1277.050505,1277.373737,1277.696970,1278.020202,1278.343434,1278.666667,1278.989899,1279.313131,1279.636364,1279.959596,1280.282828,1280.606061,1280.929293,1281.252525,1281.575758,1281.898990,1282.222222,1282.545455,1282.868687,1283.191919,1283.515152,1283.838384,1284.161616,1284.484848,1284.808081,1285.131313,1285.454545,1285.777778,1286.101010,1286.424242,1286.747475,1287.070707,1287.393939,1287.717172,1288.040404,1288.363636,1288.686869,1289.010101,1289.333333,1289.656566,1289.979798,1290.303030,1290.626263,1290.949495,1291.272727,1291.595960,1291.919192,1292.242424,1292.565657,1292.888889,1293.212121,1293.535354,1293.858586,1294.181818,1294.505051,1294.828283,1295.151515,1295.474747,1295.797980,1296.121212,1296.444444,1296.767677,1297.090909,1297.414141,1297.737374,1298.060606,1298.383838,1298.707071,1299.030303,1299.353535,1299.676768,1300.000000","0.842268,0.842183,0.842098,0.842013,0.841929,0.841844,0.841759,0.841674,0.841589,0.841504,0.841419,0.841334,0.841250,0.841165,0.841080,0.840995,0.840910,0.840825,0.840740,0.840655,0.840571,0.840486,0.840401,0.840316,0.840231,0.840146,0.840061,0.839976,0.839891,0.839807,0.839722,0.839637,0.839552,0.839467,0.839382,0.839297,0.839212,0.839128,0.839043,0.838958,0.838873,0.838788,0.838703,0.838618,0.838533,0.838449,0.838364,0.838279,0.838194,0.838109,0.838024,0.837939,0.837854,0.837770,0.837685,0.837600,0.837515,0.837430,0.837345,0.837260,0.837175,0.837090,0.837006,0.836921,0.836836,0.836751,0.836666,0.836581,0.836496,0.836411,0.836327,0.836242,0.836157,0.836072,0.835987,0.835902,0.835817,0.835732,0.835648,0.835563,0.835478,0.835393,0.835308,0.835223,0.835138,0.835053,0.834968,0.834884,0.834799,0.834714,0.834629,0.834544,0.834459,0.834374,0.834289,0.834205,0.834120,0.834035,0.833950,0.833865"
1.0KF,"1131.200000,1132.905051,1134.610101,1136.315152,1138.020202,1139.725253,1141.430303,1143.135354,1144.840404,1146.545455,1148.250505,1149.955556,1151.660606,1153.365657,1155.070707,1156.775758,1158.480808,1160.185859,1161.890909,1163.595960,1165.301010,1167.006061,1168.711111,1170.416162,1172.121212,1173.826263,1175.531313,1177.236364,1178.941414,1180.646465,1182.351515,1184.056566,1185.761616,1187.466667,1189.171717,1190.876768,1192.581818,1194.286869,1195.991919,1197.696970,1199.402020,1201.107071,1202.812121,1204.517172,1206.222222,1207.927273,1209.632323,1211.337374,1213.042424,1214.747475,1216.452525,1218.157576,1219.862626,1221.567677,1223.272727,1224.977778,1226.682828,1228.387879,1230.092929,1231.797980,1233.503030,1235.208081,1236.913131,1238.618182,1240.323232,1242.028283,1243.733333,1245.438384,1247.143434,1248.848485,1250.553535,1252.258586,1253.963636,1255.668687,1257.373737,1259.078788,1260.783838,1262.488889,1264.193939,1265.898990,1267.604040,1269.309091,1271.014141,1272.719192,1274.424242,1276.129293,1277.834343,1279.539394,1281.244444,1282.949495,1284.654545,1286.359596,1288.064646,1289.769697,1291.474747,1293.179798,1294.884848,1296.589899,1298.294949,1300.000000","0.582682,0.582238,0.581794,0.581350,0.580907,0.580463,0.580019,0.579575,0.579131,0.578687,0.578243,0.577799,0.577355,0.576911,0.576467,0.576023,0.575579,0.575135,0.574692,0.574248,0.573804,0.573360,0.572916,0.572472,0.572028,0.571584,0.571140,0.570696,0.570252,0.569808,0.569364,0.568920,0.568477,0.568033,0.567589,0.567145,0.566701,0.566257,0.565813,0.565369,0.564925,0.564481,0.564037,0.563593,0.563149,0.562705,0.562262,0.561818,0.561374,0.560930,0.560486,0.560042,0.559598,0.559154,0.558710,0.558266,0.557822,0.557378,0.556934,0.556491,0.556047,0.555603,0.555159,0.554715,0.554271,0.553827,0.553383,0.552939,0.552495,0.552051,0.551607,0.551163,0.550719,0.550276,0.549832,0.549388,0.548944,0.548500,0.548056,0.547612,0.547168,0.546724,0.546280,0.545836,0.545392,0.544948,0.544504,0.544061,0.543617,0.543173,0.542729,0.542285,0.541841,0.541397,0.540953,0.540509,0.540065,0.539621,0.539177,0.538733"
1.0LiCl,"883.000000,887.717172,892.434343,897.151515,901.868687,906.585859,911.303030,916.020202,920.737374,925.454545,930.171717,934.888889,939.606061,944.323232,949.040404,953.757576,958.474747,963.191919,967.909091,972.626263,977.343434,982.060606,986.777778,991.494949,996.212121,1000.929293,1005.646465,1010.363636,1015.080808,1019.797980,1024.515152,1029.232323,1033.949495,1038.666667,1043.383838,1048.101010,1052.818182,1057.535354,1062.252525,1066.969697,1071.686869,1076.404040,1081.121212,1085.838384,1090.555556,1095.272727,1099.989899,1104.707071,1109.424242,1114.141414,1118.858586,1123.575758,1128.292929,1133.010101,1137.727273,1142.444444,1147.161616,1151.878788,1156.595960,1161.313131,1166.030303,1170.747475,1175.464646,1180.181818,1184.898990,1189.616162,1194.333333,1199.050505,1203.767677,1208.484848,1213.202020,1217.919192,1222.636364,1227.353535,1232.070707,1236.787879,1241.505051,1246.222222,1250.939394,1255.656566,1260.373737,1265.090909,1269.808081,1274.525253,1279.242424,1283.959596,1288.676768,1293.393939,1298.111111,1302.828283,1307.545455,1312.262626,1316.979798,1321.696970,1326.414141,1331.131313,1335.848485,1340.565657,1345.282828,1350.000000","0.686319,0.685281,0.684243,0.683205,0.682167,0.681129,0.680091,0.679053,0.678015,0.676977,0.675939,0.674901,0.673862,0.672824,0.671786,0.670748,0.669710,0.668672,0.667634,0.666596,0.665558,0.664520,0.663482,0.662444,0.661405,0.660367,0.659329,0.658291,0.657253,0.656215,0.655177,0.654139,0.653101,0.652063,0.651025,0.649986,0.648948,0.647910,0.646872,0.645834,0.644796,0.643758,0.642720,0.641682,0.640644,0.639606,0.638568,0.637529,0.636491,0.635453,0.634415,0.633377,0.632339,0.631301,0.630263,0.629225,0.628187,0.627149,0.626111,0.625072,0.624034,0.622996,0.621958,0.620920,0.619882,0.618844,0.617806,0.616768,0.615730,0.614692,0.613653,0.612615,0.611577,0.610539,0.609501,0.608463,0.607425,0.606387,0.605349,0.604311,0.603273,0.602235,0.601196,0.600158,0.599120,0.598082,0.597044,0.596006,0.594968,0.593930,0.592892,0.591854,0.590816,0.589778,0.588739,0.587701,0.586663,0.585625,0.584587,0.583549"
1.0NaCl,"1073.800000,1077.094949,1080.389899,1083.684848,1086.979798,1090.274747,1093.569697,1096.864646,1100.159596,1103.454545,1106.749495,1110.044444,1113.339394,1116.634343,1119.929293,1123.224242,1126.519192,1129.814141,1133.109091,1136.404040,1139.698990,1142.993939,1146.288889,1149.583838,1152.878788,1156.173737,1159.468687,1162.763636,1166.058586,1169.353535,1172.648485,1175.943434,1179.238384,1182.533333,1185.828283,1189.123232,1192.418182,1195.713131,1199.008081,1202.303030,1205.597980,1208.892929,1212.187879,1215.482828,1218.777778,1222.072727,1225.367677,1228.662626,1231.957576,1235.252525,1238.547475,1241.842424,1245.137374,1248.432323,1251.727273,1255.022222,1258.317172,1261.612121,1264.907071,1268.202020,1271.496970,1274.791919,1278.086869,1281.381818,1284.676768,1287.971717,1291.266667,1294.561616,1297.856566,1301.151515,1304.446465,1307.741414,1311.036364,1314.331313,1317.626263,1320.921212,1324.216162,1327.511111,1330.806061,1334.101010,1337.395960,1340.690909,1343.985859,1347.280808,1350.575758,1353.870707,1357.165657,1360.460606,1363.755556,1367.050505,1370.345455,1373.640404,1376.935354,1380.230303,1383.525253,1386.820202,1390.115152,1393.410101,1396.705051,1400.000000","0.486813,0.486124,0.485436,0.484747,0.484058,0.483370,0.482681,0.481992,0.481304,0.480615,0.479926,0.479238,0.478549,0.477860,0.477172,0.476483,0.475795,0.475106,0.474417,0.473729,0.473040,0.472351,0.471663,0.470974,0.470285,0.469597,0.468908,0.468219,0.467531,0.466842,0.466154,0.465465,0.464776,0.464088,0.463399,0.462710,0.462022,0.461333,0.460644,0.459956,0.459267,0.458578,0.457890,0.457201,0.456512,0.455824,0.455135,0.454447,0.453758,0.453069,0.452381,0.451692,0.451003,0.450315,0.449626,0.448937,0.448249,0.447560,0.446871,0.446183,0.445494,0.444806,0.444117,0.443428,0.442740,0.442051,0.441362,0.440674,0.439985,0.439296,0.438608,0.437919,0.437230,0.436542,0.435853,0.435164,0.434476,0.433787,0.433099,0.432410,0.431721,0.431033,0.430344,0.429655,0.428967,0.428278,0.427589,0.426901,0.426212,0.425523,0.424835,0.424146,0.423458,0.422769,0.422080,0.421392,0.420703,0.420014,0.419326,0.418637"
1.0KCl,"1042.700000,1046.309091,1049.918182,1053.527273,1057.136364,1060.745455,1064.354545,1067.963636,1071.572727,1075.181818,1078.790909,1082.400000,1086.009091,1089.618182,1093.227273,1096.836364,1100.445455,1104.054545,1107.663636,1111.272727,1114.881818,1118.490909,1122.100000,1125.709091,1129.318182,1132.927273,1136.536364,1140.145455,1143.754545,1147.363636,1150.972727,1154.581818,1158.190909,1161.800000,1165.409091,1169.018182,1172.627273,1176.236364,1179.845455,1183.454545,1187.063636,1190.672727,1194.281818,1197.890909,1201.500000,1205.109091,1208.718182,1212.327273,1215.936364,1219.545455,1223.154545,1226.763636,1230.372727,1233.981818,1237.590909,1241.200000,1244.809091,1248.418182,1252.027273,1255.636364,1259.245455,1262.854545,1266.463636,1270.072727,1273.681818,1277.290909,1280.900000,1284.509091,1288.118182,1291.727273,1295.336364,1298.945455,1302.554545,1306.163636,1309.772727,1313.381818,1316.990909,1320.600000,1324.209091,1327.818182,1331.427273,1335.036364,1338.645455,1342.254545,1345.863636,1349.472727,1353.081818,1356.690909,1360.300000,1363.909091,1367.518182,1371.127273,1374.736364,1378.345455,1381.954545,1385.563636,1389.172727,1392.781818,1396.390909,1400.000000","0.374236,0.373554,0.372873,0.372192,0.371511,0.370829,0.370148,0.369467,0.368786,0.368104,0.367423,0.366742,0.366061,0.365379,0.364698,0.364017,0.363336,0.362654,0.361973,0.361292,0.360610,0.359929,0.359248,0.358567,0.357885,0.357204,0.356523,0.355842,0.355160,0.354479,0.353798,0.353117,0.352435,0.351754,0.351073,0.350392,0.349710,0.349029,0.348348,0.347667,0.346985,0.346304,0.345623,0.344941,0.344260,0.343579,0.342898,0.342216,0.341535,0.340854,0.340173,0.339491,0.338810,0.338129,0.337448,0.336766,0.336085,0.335404,0.334723,0.334041,0.333360,0.332679,0.331998,0.331316,0.330635,0.329954,0.329272,0.328591,0.327910,0.327229,0.326547,0.325866,0.325185,0.324504,0.323822,0.323141,0.322460,0.321779,0.321097,0.320416,0.319735,0.319054,0.318372,0.317691,0.317010,0.316329,0.315647,0.314966,0.314285,0.313603,0.312922,0.312241,0.311560,0.310878,0.310197,0.309516,0.308835,0.308153,0.307472,0.306791"
1.0MgCl2,"987.000000,991.171717,995.343434,999.515152,1003.686869,1007.858586,1012.030303,1016.202020,1020.373737,1024.545455,1028.717172,1032.888889,1037.060606,1041.232323,1045.404040,1049.575758,1053.747475,1057.919192,1062.090909,1066.262626,1070.434343,1074.606061,1078.777778,1082.949495,1087.121212,1091.292929,1095.464646,1099.636364,1103.808081,1107.979798,1112.151515,1116.323232,1120.494949,1124.666667,1128.838384,1133.010101,1137.181818,1141.353535,1145.525253,1149.696970,1153.868687,1158.040404,1162.212121,1166.383838,1170.555556,1174.727273,1178.898990,1183.070707,1187.242424,1191.414141,1195.585859,1199.757576,1203.929293,1208.101010,1212.272727,1216.444444,1220.616162,1224.787879,1228.959596,1233.131313,1237.303030,1241.474747,1245.646465,1249.818182,1253.989899,1258.161616,1262.333333,1266.505051,1270.676768,1274.848485,1279.020202,1283.191919,1287.363636,1291.535354,1295.707071,1299.878788,1304.050505,1308.222222,1312.393939,1316.565657,1320.737374,1324.909091,1329.080808,1333.252525,1337.424242,1341.595960,1345.767677,1349.939394,1354.111111,1358.282828,1362.454545,1366.626263,1370.797980,1374.969697,1379.141414,1383.313131,1387.484848,1391.656566,1395.828283,1400.000000","0.438292,0.437912,0.437532,0.437152,0.436771,0.436391,0.436011,0.435631,0.435251,0.434870,0.434490,0.434110,0.433730,0.433350,0.432969,0.432589,0.432209,0.431829,0.431449,0.431069,0.430688,0.430308,0.429928,0.429548,0.429168,0.428787,0.428407,0.428027,0.427647,0.427267,0.426886,0.426506,0.426126,0.425746,0.425366,0.424985,0.424605,0.424225,0.423845,0.423465,0.423084,0.422704,0.422324,0.421944,0.421564,0.421183,0.420803,0.420423,0.420043,0.419663,0.419282,0.418902,0.418522,0.418142,0.417762,0.417382,0.417001,0.416621,0.416241,0.415861,0.415481,0.415100,0.414720,0.414340,0.413960,0.413580,0.413199,0.412819,0.412439,0.412059,0.411679,0.411298,0.410918,0.410538,0.410158,0.409778,0.409397,0.409017,0.408637,0.408257,0.407877,0.407496,0.407116,0.406736,0.406356,0.405976,0.405596,0.405215,0.404835,0.404455,0.404075,0.403695,0.403314,0.402934,0.402554,0.402174,0.401794,0.401413,0.401033,0.400653"
1.0CaCl2,"1045.000000,1047.575758,1050.151515,1052.727273,1055.303030,1057.878788,1060.454545,1063.030303,1065.606061,1068.181818,1070.757576,1073.333333,1075.909091,1078.484848,1081.060606,1083.636364,1086.212121,1088.787879,1091.363636,1093.939394,1096.515152,1099.090909,1101.666667,1104.242424,1106.818182,1109.393939,1111.969697,1114.545455,1117.121212,1119.696970,1122.272727,1124.848485,1127.424242,1130.000000,1132.575758,1135.151515,1137.727273,1140.303030,1142.878788,1145.454545,1148.030303,1150.606061,1153.181818,1155.757576,1158.333333,1160.909091,1163.484848,1166.060606,1168.636364,1171.212121,1173.787879,1176.363636,1178.939394,1181.515152,1184.090909,1186.666667,1189.242424,1191.818182,1194.393939,1196.969697,1199.545455,1202.121212,1204.696970,1207.272727,1209.848485,1212.424242,1215.000000,1217.575758,1220.151515,1222.727273,1225.303030,1227.878788,1230.454545,1233.030303,1235.606061,1238.181818,1240.757576,1243.333333,1245.909091,1248.484848,1251.060606,1253.636364,1256.212121,1258.787879,1261.363636,1263.939394,1266.515152,1269.090909,1271.666667,1274.242424,1276.818182,1279.393939,1281.969697,1284.545455,1287.121212,1289.696970,1292.272727,1294.848485,1297.424242,1300.000000","0.448736,0.448438,0.448140,0.447842,0.447544,0.447246,0.446948,0.446650,0.446351,0.446053,0.445755,0.445457,0.445159,0.444861,0.444563,0.444265,0.443967,0.443669,0.443371,0.443073,0.442775,0.442477,0.442179,0.441880,0.441582,0.441284,0.440986,0.440688,0.440390,0.440092,0.439794,0.439496,0.439198,0.438900,0.438602,0.438304,0.438006,0.437708,0.437409,0.437111,0.436813,0.436515,0.436217,0.435919,0.435621,0.435323,0.435025,0.434727,0.434429,0.434131,0.433833,0.433535,0.433237,0.432938,0.432640,0.432342,0.432044,0.431746,0.431448,0.431150,0.430852,0.430554,0.430256,0.429958,0.429660,0.429362,0.429064,0.428766,0.428467,0.428169,0.427871,0.427573,0.427275,0.426977,0.426679,0.426381,0.426083,0.425785,0.425487,0.425189,0.424891,0.424593,0.424294,0.423996,0.423698,0.423400,0.423102,0.422804,0.422506,0.422208,0.421910,0.421612,0.421314,0.421016,0.420718,0.420420,0.420122,0.419823,0.419525,0.419227"
1.0SrCl2,"1146.000000,1147.555556,1149.111111,1150.666667,1152.222222,1153.777778,1155.333333,1156.888889,1158.444444,1160.000000,1161.555556,1163.111111,1164.666667,1166.222222,1167.777778,1169.333333,1170.888889,1172.444444,1174.000000,1175.555556,1177.111111,1178.666667,1180.222222,1181.777778,1183.333333,1184.888889,1186.444444,1188.000000,1189.555556,1191.111111,1192.666667,1194.222222,1195.777778,1197.333333,1198.888889,1200.444444,1202.000000,1203.555556,1205.111111,1206.666667,1208.222222,1209.777778,1211.333333,1212.888889,1214.444444,1216.000000,1217.555556,1219.111111,1220.666667,1222.222222,1223.777778,1225.333333,1226.888889,1228.444444,1230.000000,1231.555556,1233.111111,1234.666667,1236.222222,1237.777778,1239.333333,1240.888889,1242.444444,1244.000000,1245.555556,1247.111111,1248.666667,1250.222222,1251.777778,1253.333333,1254.888889,1256.444444,1258.000000,1259.555556,1261.111111,1262.666667,1264.222222,1265.777778,1267.333333,1268.888889,1270.444444,1272.000000,1273.555556,1275.111111,1276.666667,1278.222222,1279.777778,1281.333333,1282.888889,1284.444444,1286.000000,1287.555556,1289.111111,1290.666667,1292.222222,1293.777778,1295.333333,1296.888889,1298.444444,1300.000000","0.383512,0.383327,0.383142,0.382958,0.382773,0.382588,0.382403,0.382219,0.382034,0.381849,0.381664,0.381480,0.381295,0.381110,0.380925,0.380741,0.380556,0.380371,0.380187,0.380002,0.379817,0.379632,0.379448,0.379263,0.379078,0.378893,0.378709,0.378524,0.378339,0.378154,0.377970,0.377785,0.377600,0.377416,0.377231,0.377046,0.376861,0.376677,0.376492,0.376307,0.376122,0.375938,0.375753,0.375568,0.375384,0.375199,0.375014,0.374829,0.374645,0.374460,0.374275,0.374090,0.373906,0.373721,0.373536,0.373351,0.373167,0.372982,0.372797,0.372613,0.372428,0.372243,0.372058,0.371874,0.371689,0.371504,0.371319,0.371135,0.370950,0.370765,0.370580,0.370396,0.370211,0.370026,0.369842,0.369657,0.369472,0.369287,0.369103,0.368918,0.368733,0.368548,0.368364,0.368179,0.367994,0.367809,0.367625,0.367440,0.367255,0.367071,0.366886,0.366701,0.366516,0.366332,0.366147,0.365962,0.365777,0.365593,0.365408,0.365223"
0.6LiF-0.4NaF,"930.000000,932.727273,935.454545,938.181818,940.909091,943.636364,946.363636,949.090909,951.818182,954.545455,957.272727,960.000000,962.727273,965.454545,968.181818,970.909091,973.636364,976.363636,979.090909,981.818182,984.545455,987.272727,990.000000,992.727273,995.454545,998.181818,1000.909091,1003.636364,1006.363636,1009.090909,1011.818182,1014.545455,1017.272727,1020.000000,1022.727273,1025.454545,1028.181818,1030.909091,1033.636364,1036.363636,1039.090909,1041.818182,1044.545455,1047.272727,1050.000000,1052.727273,1055.454545,1058.181818,1060.909091,1063.636364,1066.363636,1069.090909,1071.818182,1074.545455,1077.272727,1080.000000,1082.727273,1085.454545,1088.181818,1090.909091,1093.636364,1096.363636,1099.090909,1101.818182,1104.545455,1107.272727,1110.000000,1112.727273,1115.454545,1118.181818,1120.909091,1123.636364,1126.363636,1129.090909,1131.818182,1134.545455,1137.272727,1140.000000,1142.727273,1145.454545,1148.181818,1150.909091,1153.636364,1156.363636,1159.090909,1161.818182,1164.545455,1167.272727,1170.000000,1172.727273,1175.454545,1178.181818,1180.909091,1183.636364,1186.363636,1189.090909,1191.818182,1194.545455,1197.272727,1200.000000","1.014056,1.013257,1.012458,1.011659,1.010860,1.010061,1.009262,1.008463,1.007664,1.006865,1.006066,1.005267,1.004468,1.003669,1.002870,1.002071,1.001272,1.000473,0.999674,0.998875,0.998076,0.997277,0.996478,0.995679,0.994880,0.994080,0.993281,0.992482,0.991683,0.990884,0.990085,0.989286,0.988487,0.987688,0.986889,0.986090,0.985291,0.984492,0.983693,0.982894,0.982095,0.981296,0.980497,0.979698,0.978899,0.978100,0.977301,0.976502,0.975703,0.974904,0.974104,0.973305,0.972506,0.971707,0.970908,0.970109,0.969310,0.968511,0.967712,0.966913,0.966114,0.965315,0.964516,0.963717,0.962918,0.962119,0.961320,0.960521,0.959722,0.958923,0.958124,0.957325,0.956526,0.955726,0.954927,0.954128,0.953329,0.952530,0.951731,0.950932,0.950133,0.949334,0.948535,0.947736,0.946937,0.946138,0.945339,0.944540,0.943741,0.942942,0.942143,0.941344,0.940545,0.939746,0.938947,0.938148,0.937348,0.936549,0.935750,0.934951"
0.5BeF2-0.5LiF,"654.000000,657.494949,660.989899,664.484848,667.979798,671.474747,674.969697,678.464646,681.959596,685.454545,688.949495,692.444444,695.939394,699.434343,702.929293,706.424242,709.919192,713.414141,716.909091,720.404040,723.898990,727.393939,730.888889,734.383838,737.878788,741.373737,744.868687,748.363636,751.858586,755.353535,758.848485,762.343434,765.838384,769.333333,772.828283,776.323232,779.818182,783.313131,786.808081,790.303030,793.797980,797.292929,800.787879,804.282828,807.777778,811.272727,814.767677,818.262626,821.757576,825.252525,828.747475,832.242424,835.737374,839.232323,842.727273,846.222222,849.717172,853.212121,856.707071,860.202020,863.696970,867.191919,870.686869,874.181818,877.676768,881.171717,884.666667,888.161616,891.656566,895.151515,898.646465,902.141414,905.636364,909.131313,912.626263,916.121212,919.616162,923.111111,926.606061,930.101010,933.595960,937.090909,940.585859,944.080808,947.575758,951.070707,954.565657,958.060606,961.555556,965.050505,968.545455,972.040404,975.535354,979.030303,982.525253,986.020202,989.515152,993.010101,996.505051,1000.000000","0.985322,0.985086,0.984850,0.984614,0.984378,0.984142,0.983905,0.983669,0.983433,0.983197,0.982961,0.982725,0.982488,0.982252,0.982016,0.981780,0.981544,0.981308,0.981071,0.980835,0.980599,0.980363,0.980127,0.979891,0.979654,0.979418,0.979182,0.978946,0.978710,0.978474,0.978237,0.978001,0.977765,0.977529,0.977293,0.977056,0.976820,0.976584,0.976348,0.976112,0.975876,0.975639,0.975403,0.975167,0.974931,0.974695,0.974459,0.974222,0.973986,0.973750,0.973514,0.973278,0.973042,0.972805,0.972569,0.972333,0.972097,0.971861,0.971625,0.971388,0.971152,0.970916,0.970680,0.970444,0.970208,0.969971,0.969735,0.969499,0.969263,0.969027,0.968791,0.968554,0.968318,0.968082,0.967846,0.967610,0.967374,0.967137,0.966901,0.966665,0.966429,0.966193,0.965957,0.965720,0.965484,0.965248,0.965012,0.964776,0.964539,0.964303,0.964067,0.963831,0.963595,0.963359,0.963122,0.962886,0.962650,0.962414,0.962178,0.961942"
